,restaurant_name,restaurant_phone,restaurant_website,hours,price_range,price_range_num,restaurant_id,last_updated,address.city,address.state,address.postal_code,address.street,address.formatted,geo.lat,geo.lon,cuisine_1,cuisine_2,cuisine_3,cuisine_4,cuisine_5,cuisine_6,menu_name,section_name,description,menu_items.name,menu_items.description,menu_items.price
0,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,Firehook Favorites,,Muffins,,2.1
1,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,Firehook Favorites,,Scones,,2.1
2,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,Firehook Favorites,,Butter Croissants,,2.2
3,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,Firehook Favorites,,Ham & Cheese Croissants,,3.0
4,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,Firehook Favorites,,Spinach Croissants,,3.0
5,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,Firehook Favorites,,Sandwiches,,7.85
6,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,House Brew Tea,,House Coffee,,1.0
7,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,House Brew Tea,,House Coffee,,1.0
8,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,House Brew Tea,,House Coffee,,1.0
9,Firehook,(202) 347-1760,,Mon-Fri: 6:30am-6pm,$,1,3889531277016179,2021-01-05T07:12:44.767Z,Washington,DC,20001,441 4th St NW,"441 4th St NW Washington, DC 20001",38.895312,-77.016179,Bakery & Pastries,Coffee & Tea,Desserts,,,,Main,House Brew Tea,,Cafe Au Lait,,2.5
